taxon	n	OR	b	se	p	qp	or_eg	p_eg	pleio_p	p_wm	fdr
family.Bifidobacteriaceae.id.433	15	1.0433519299293965	0.04243853993858185	0.049680627736425266	0.3929791550159255	0.0008841484715307292	1.410699048982103	0.06608085958164596	0.09092855450177535	0.520714298119656	0.88912609420296
order.Bifidobacteriales.id.432	15	1.0433519299293965	0.04243853993858185	0.049680627736425266	0.3929791550159255	0.0008841484715307292	1.410699048982103	0.06608085958164596	0.09092855450177535	0.5366777113990138	0.88912609420296
family.ClostridialesvadinBB60group.id.11286	15	1.0263382658359361	0.025997386208729205	0.03140605579132808	0.4077936360898803	0.07375743696821534	1.0037221425409844	0.9690097695014267	0.8040535049393063	0.4012261406167902	0.88912609420296
genus.unknowngenus.id.1000000073	15	1.0263382658359361	0.025997386208729205	0.03140605579132808	0.4077936360898803	0.07375743696821534	1.0037221425409844	0.9690097695014267	0.8040535049393063	0.3989894168230853	0.88912609420296
order.Selenomonadales.id.2165	12	1.044325360717412	0.043371089104989866	0.05250076964983369	0.4087451712686593	0.034116607877595635	0.8827710458327198	0.5121850693091429	0.3614747316243151	0.5415846015460045	0.88912609420296
class.Negativicutes.id.2164	12	1.044325360717412	0.043371089104989866	0.05250076964983369	0.4087451712686593	0.034116607877595635	0.8827710458327198	0.5121850693091429	0.3614747316243151	0.5384364074718294	0.88912609420296
genus.Prevotella9.id.11183	15	1.0223712597860086	0.022124693708083263	0.027036594454549968	0.41317221414609206	0.7071418414499637	1.1019898750646595	0.24512638460787334	0.3428853598465318	0.3326653354670549	0.8895850733145452
class.Betaproteobacteria.id.2867	13	0.9665588716251485	-0.03401307000553451	0.04204830500553477	0.41856998632886866	0.2565961207952653	0.953133452329856	0.7701156571017508	0.9293175552760521	0.6482186212639811	0.8921037082362757
genus.Lactococcus.id.1851	9	1.0158972552035683	0.015772217274492344	0.019939963673366055	0.42895259523355045	0.8794460846031936	0.9698077564814963	0.6135150540180317	0.4368831467852556	0.2316189580428739	0.9050899759427915
genus..Eubacteriumoxidoreducensgroup.id.11339	5	1.0256414380425225	0.025318210075668573	0.03302267120803792	0.44326480094624	0.5853621847371682	1.0599862230411354	0.610083819874233	0.7582234651011411	0.5354861703651336	0.919171421014196
genus.Collinsella.id.815	10	1.0418057996114218	0.04095555322785886	0.05354457485809968	0.44433879120117536	0.04742593905789929	0.9379030390390242	0.7696584367304776	0.6206437507377829	0.7504935280598912	0.919171421014196
class.Deltaproteobacteria.id.3087	13	0.9673469286489395	-0.03319807987799173	0.04446232283174421	0.45527096745916973	0.02955339211922361	0.8857795873686303	0.34339761945860825	0.45537524751601866	0.10756928083417497	0.919268607280968
genus.RuminococcaceaeUCG013.id.11370	12	1.0344417233124859	0.03386188342430961	0.04576658996521662	0.4593715004322263	0.06900268588635658	0.9328024030119606	0.6120077870741185	0.4255095960034344	0.7459878219685139	0.919268607280968
